text,span,label,ordinal
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,0
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,0
I love the way the entire suite of software works together.,suite of software,positive,0
The speed is incredible and I am more than satisfied.,speed,positive,0
This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,0
I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,0
"-No backlit keyboard, but not an issue for me.",keyboard,conflict,0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,0
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,0
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,0
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,0
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,0
The machine is slow to boot up and occasionally crashes completely.,boot up,negative,0
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,0
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict,0
I love the operating system and the preloaded software.,operating system,positive,0
I love the operating system and the preloaded software.,preloaded software,positive,0
The best thing about this laptop is the price along with some of the newer features.,price,positive,0
The best thing about this laptop is the price along with some of the newer features.,features,positive,0
"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,0
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,0
but now i have realized its a problem with this brand.,brand,negative,0
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,0
I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,0
Also kinda loud when the fan was running.,fan,negative,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,0
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,0
Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,0
"Speaking of the browser, it too has problems.",browser,negative,0
The keyboard is too slick.,keyboard,negative,0
Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,0
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,0
It's just as fast with one program open as it is with sixteen open.,program,neutral,0
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,0
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,0
Amazing Quality!,Quality,positive,0
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,0
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,0
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,0
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,0
"A month or so ago, the freaking motherboard just died.",motherboard,negative,0
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,0
"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,0
It rarely works and when it does it's incredibly slow.,works,negative,0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,0
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,0
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,0
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,0
"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,0
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,0
"Then, within 5 months, the charger crapped out on me.",charger,negative,0
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,0
I love the glass touchpad.,glass touchpad,positive,0
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,0
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,0
I am using the external speaker- sound is good.,external speaker,positive,0
I am using the external speaker- sound is good.,sound,positive,0
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,0
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,0
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,0
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,0
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,0
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,0
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,0
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,1
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,0
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,0
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,0
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,0
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,0
I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,0
"The battery life seems to be very good, and have had no issues with it.",battery life,positive,0
Enabling the battery timer is useless.,battery timer,negative,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,0
Going to bring it to service today.,service,neutral,0
"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,0
"But we had paid for bluetooth, and there was none.",bluetooth,negative,0
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,0
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,0
"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,0
"It is always reliable, never bugged and responds well.",responds,positive,0
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,0
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,1
"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,0
they had to replace the motherboard in April,motherboard,negative,0
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,0
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,0
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,0
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,0
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,0
I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,0
"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0
Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,0
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,0
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,0
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,0
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,0
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,0
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,0
It weighed like seven pounds or something like that.,weighed,neutral,0
It weighed like seven pounds or something like that.,seven pounds,neutral,0
"2 months later, the battery went.",battery,negative,0
You may need to special order a bag.,bag,neutral,0
It's color is even cool.,color,positive,0
keys are all in weird places and is way too large for the way it is designed.,keys,negative,0
keys are all in weird places and is way too large for the way it is designed.,designed,negative,0
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,0
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,0
The keyboard feels good and I type just fine on it.,keyboard,positive,0
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,0
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,0
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,0
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,0
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,0
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,0
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,0
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,1
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,0
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,0
) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,0
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,0
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,0
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,0
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,0
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,0
lots of preloaded software.,preloaded software,positive,0
"I wish it had a webcam though, then it would be perfect!",webcam,negative,0
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,0
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,0
Another thing I might add is the battery life is excellent.,battery life,positive,0
"One drawback, I wish the keys were backlit.",keys,negative,0
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,0
I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,0
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,0
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,0
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,0
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,0
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,1
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,0
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,0
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,0
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,0
"Great battery, speed, display.",battery,positive,0
"Great battery, speed, display.",speed,positive,0
"Great battery, speed, display.",display,positive,0
"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,0
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,0
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,0
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,0
"It's applications are terrific, including the replacements for Microsoft office.",applications,positive,0
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,positive,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,1
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,1
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,1
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,0
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,0
Mostly I love the drag and drop feature.,drag and drop feature,positive,0
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,0
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,0
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,0
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,0
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,0
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,0
The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,0
The screen is very large and crystal clear with amazing colors and resolution.,colors,positive,0
The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,0
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,0
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,0
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,0
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,neutral,0
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,0
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,negative,0
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,0
"It has no camera but, I can always buy and install one easy.",camera,conflict,0
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,0
The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive,0
The AMD Turin processor seems to always perform so much better than Intel.,Intel,negative,0
  After that the said it was under warranty.,warranty,neutral,0
The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,0
The start menu is not the easiest thing to navigate due to the stacking.,navigate,negative,0
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative,0
The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,0
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,negative,0
Really like the textured surface which shows no fingerprints.,surface,positive,0
The screen is bright and the keyboard is nice;,screen,positive,0
The screen is bright and the keyboard is nice;,keyboard,positive,0
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,positive,0
But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,positive,0
"High price tag, however.",price tag,negative,0
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,positive,0
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,negative,0
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,negative,0
It is easy to use and lightweight.,use,positive,0
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive,0
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,positive,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,neutral,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,neutral,0
This laptop is a great price and has a sleek look.,price,positive,0
This laptop is a great price and has a sleek look.,look,positive,0
I especially like the keyboard which has chiclet type keys.,keyboard,positive,0
I especially like the keyboard which has chiclet type keys.,keys,positive,0
Small screen somewhat limiting but great for travel.,screen,conflict,0
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative,0
"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,negative,0
The gray color was a good choice.,gray color,positive,0
I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,negative,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,negative,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,negative,0
I bought a protector for my key pad and it works great :),protector,neutral,0
I bought a protector for my key pad and it works great :),key pad,positive,0
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,0
It seems they could have updated XP and done without creating Vista.,XP,positive,0
It seems they could have updated XP and done without creating Vista.,Vista,negative,0
"  It is easy to use, fast and has great graphics for the money.",graphics,positive,0
"  It is easy to use, fast and has great graphics for the money.",use,positive,0
I like how the Mac OS is so simple and easy to use.,Mac OS,positive,0
I like how the Mac OS is so simple and easy to use.,use,positive,0
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,0
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,positive,0
only good thing is the graphics quality.,graphics quality,positive,0
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative,0
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,negative,0
The paint wears off easily due to the keyboard being farther back than usual.,paint,negative,0
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,negative,0
I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,neutral,0
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,positive,0
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,negative,0
I always use a backup hard disk to store important files at all times.,hard disk,neutral,0
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,negative,0
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,negative,0
But the screen size is not that bad for email and web browsing.,screen size,positive,0
But the screen size is not that bad for email and web browsing.,web browsing,neutral,0
Once I removed all the software the laptop loads in 15-20 seconds.,software,negative,0
Once I removed all the software the laptop loads in 15-20 seconds.,loads,neutral,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,negative,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,external mouse,neutral,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,negative,1
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,negative,0
"Obviously one of the most important features of any computer is the ""human interface.",features,neutral,0
"Obviously one of the most important features of any computer is the ""human interface.",human interface,neutral,0
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",inbuilt applications,negative,0
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",Software,negative,0
The body is a bit cheaply made so it will be interesting to see how long it holds up.,body,negative,0
The i5 blows my desktop out of the water when it comes to rendering videos.,i5,negative,0
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",antivirus software,neutral,0
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,neutral,0
"Am very glad I bought it, great netbook, low price.",price,positive,0
